DB00073	D008206	DB12240
DB00741	D011085	DB01234
DB06186	D011471	DB00958
DB00002	D006258	DB00958
DB06186	D009375	DB01611
DB01101	D005767	DB00112
DB11581	D015448	DB11703
DB05812	D009370	DB11901
DB06626	D007674	DB01268
DB00073	D007160	DB15140
DB09073	D013899	DB11967
DB09110	D001796	DB01042
DB01229	D007410	DB00958
DB00707	D008171	DB00965
DB09054	D015451	DB00073
DB01195	D002318	DB00489
DB06605	D018281	DB06228
DB00635	D002869	DB00563
DB00531	D020141	DB01042
DB00619	D008206	DB00563
DB00112	D042822	DB00544
DB04572	D009196	DB00073
DB09037	D016403	DB09052
DB00773	D054219	DB00099
DB08889	D000075122	DB00480
DB00531	D016393	DB01073
DB00958	D004701	DB09110
DB05889	D007154	DB09052
DB02546	D012871	DB09074
DB08935	D008223	DB12483
DB00281	D056650	DB00540
DB06091	D009375	DB06186
DB01075	D009369	DB00471
DB00480	D008228	DB06176
DB00531	D001941	DB00997
DB01248	D009371	DB00997
DB11595	D010265	DB16409
DB11771	D009375	DB00773
DB00997	D009371	DB01073
DB06603	D006689	DB09110
DB00480	D007160	DB14989
DB08889	D002318	DB11581
DB00958	D014565	DB00773
DB00531	D014652	DB00541
DB01073	D010335	DB01005
DB00619	D009370	DB00563
DB00997	D001796	DB00773
DB00997	D008171	DB09499
DB01590	D009375	DB00331
DB09054	D016393	DB12121
DB01073	D009370	DB01254
DB01234	D008206	DB00635
DB01211	D008232	DB08889
DB05220	D005770	DB06589
DB15140	D002277	DB08899
DB05812	D005834	DB11793
DB00515	D000291	DB16425
DB01075	D018307	DB01005
DB11581	D015470	DB14829
DB09037	D009369	DB12021
DB00773	D019337	DB00631
DB00073	D008206	DB05220
DB00480	D009370	DB06176
DB00531	D011289	DB00087
DB11595	D009370	DB01101
DB11978	D007951	DB00928
DB09073	D009369	DB00059
DB01042	D007938	DB00531
DB00339	D007154	DB00330
DB01101	D009380	DB00112
DB00811	D014777	DB13879
DB09053	D009362	DB00073
DB00541	D007154	DB00970
DB00773	D007119	DB00635
DB00087	D000081207	DB01073
DB12085	D006402	DB14892
DB00087	D017599	DB01042
DB00051	D012216	DB15091
DB09077	D018242	DB00020
DB00515	D009370	DB00073
DB00711	D017190	DB00602
DB06699	D011469	DB05812
DB00531	D004194	DB00087
DB11841	D012002	DB01611
DB01229	D001941	DB11714
DB00515	D009369	DB06287
DB14811	D009370	DB00188
DB00526	D004700	DB00773
DB00177	D051437	DB00722
DB04572	D000743	DB01075
DB09053	D009369	DB00853
DB05578	D012140	DB01248
DB11595	D004067	DB01101
DB09037	D013899	DB16383
DB01225	D009369	DB01234
DB11595	D009369	DB16296
DB00339	D015229	DB01045
DB00899	D003324	DB00728
DB00877	D006402	DB01281
DB00531	D016400	DB00997
DB00073	D000069293	DB00997
DB01042	D002318	DB00073
DB12008	D016543	DB00531
DB08881	D009385	DB01229
DB01075	D015212	DB00316
DB00362	D018746	DB00196
DB11703	D054219	DB00073
DB13126	D001327	DB00175
DB09331	D007160	DB00471
DB09053	D008228	DB12565
DB00531	D020031	DB00877
DB09035	D000077195	DB01229
DB00515	D009385	DB01248
DB09037	D005767	DB01229
DB15471	D003108	DB00526
DB06206	D014839	DB01233
DB00098	D009103	DB00531
DB06650	D008206	DB00099
DB00531	D014412	DB00773
DB00442	D006525	DB09299
DB00441	D001943	DB01101
DB08935	D007154	DB11703
DB00571	D009765	DB03128
DB01611	D011014	DB11817
DB00207	D010335	DB01611
DB00098	D009369	DB00099
DB01101	D001943	DB00390
DB01590	D001943	DB01611
DB08896	D004066	DB01611
DB00441	D004700	DB11526
DB06699	D011469	DB06186
DB09110	D009468	DB00531
DB09539	D064726	DB00515
DB00316	D000745	DB00091
DB06674	D007592	DB05679
DB01248	D011469	DB00014
DB06817	D012749	DB00238
DB00928	D015470	DB08911
DB01073	D030342	DB00039
DB00743	D018299	DB15690
DB00544	D000077277	DB01248
DB01073	D007160	DB01042
DB11714	D016393	DB00997
DB00531	D007945	DB00099
DB00959	D007160	DB00531
DB04572	D007945	DB00631
DB00512	D001423	DB13140
DB00859	D004066	DB06824
DB08828	D007571	DB06186
DB00441	D009369	DB16371
DB01362	D044343	DB00345
DB11581	D007938	DB00928
DB09078	D009372	DB00773
DB12332	D004935	DB09035
DB00531	D009369	DB01181
DB11730	D054198	DB01234
DB00688	D015464	DB00099
DB00541	D009369	DB12483
DB00695	D014652	DB00598
DB00305	D005767	DB01229
DB08911	D009380	DB08912
DB00987	D008223	DB09073
DB00471	D007239	DB00602
DB11595	D002289	DB05239
DB01229	D011014	DB00958
DB09287	D005767	DB00512
DB00958	D009422	DB00997
DB00530	D009375	DB00515
DB08901	D014178	DB00635
DB16186	D012142	DB00650
DB01073	D002292	DB00531
DB11652	D001943	DB12015
DB01601	D020969	DB00503
DB12134	D001423	DB00683
DB00215	D011618	DB01104
DB11595	D009370	DB15078
DB01206	D005910	DB11942
DB00415	D005322	DB00207
DB00515	D008175	DB00773
DB00515	D001984	DB14825
DB00091	D008223	DB00316
DB11911	D008113	DB00398
DB00762	D014570	DB11760
DB15286	D015179	DB00441
DB00073	D001796	DB15140
DB00480	D015451	DB06769
DB00635	D009371	DB04996
DB09110	D010335	DB04572
DB00958	D002493	DB00515
DB06650	D008228	DB00552
DB05223	D013577	DB00928
DB14851	D009380	DB09035
DB09037	D004066	DB15393
DB01224	D003866	DB00215
DB00997	D007938	DB00352
DB00570	D014571	DB00563
DB00724	D008223	DB00254
DB00694	D008228	DB08886
DB00877	D018193	DB01042
DB00996	D011183	DB00497
DB00317	D001984	DB00530
DB11703	D016393	DB00987
DB01281	D000745	DB01042
DB00958	D001941	DB09037
DB00864	D006646	DB00631
DB00642	D001984	DB15088
DB00987	D007938	DB06603
DB01075	D009369	DB00688
DB00352	D008228	DB01234
DB00072	D009382	DB00958
DB00073	D008232	DB08889
DB00512	D009140	DB00607
DB11714	D004701	DB11771
DB01042	D000755	DB00864
DB11800	D009371	DB11714
DB08911	D008545	DB09037
DB15393	D009369	DB00526
DB00002	D009369	DB06589
DB00520	D016469	DB00196
DB11945	D008171	DB08865
DB09570	D020141	DB00531
DB15118	D002277	DB00441
DB09037	D008171	DB06168
DB00945	D003324	DB06228
DB00361	D008175	DB01248
DB00112	D001660	DB01229
DB01327	D014947	DB01190
DB00087	D004194	DB01008
DB00877	D009370	DB02709
DB00987	D009371	DB11978
DB11794	D009380	DB01030
DB01248	D005705	DB00762
DB11581	D008232	DB09053
DB08816	D009422	DB00945
DB01280	D009369	DB00531
DB00087	D008659	DB01042
DB00531	D009369	DB00073
DB05219	D017443	DB00620
DB09035	D002295	DB12893
DB00531	D018301	DB00552
DB09035	D000230	DB00441
DB09033	D015212	DB00959
DB06186	D012142	DB09035
DB00087	D011230	DB01008
DB06186	D005767	DB01101
DB00741	D008223	DB00262
DB00741	D008206	DB00073
DB00635	D000080874	DB00073
DB11595	D064726	DB08875
DB01248	D002277	DB11945
DB00688	D013922	DB01073
DB00958	D018302	DB01181
DB01101	D001941	DB00515
DB01073	D010265	DB00541
DB11652	D001943	DB00947
DB08889	D001796	DB01234
DB00650	D000008	DB00762
DB01073	D009190	DB14865
DB00515	D007818	DB11714
DB09150	D010335	DB06705
DB08896	D005767	DB11841
DB14811	D008232	DB00531
DB00099	D020141	DB06809
DB00683	D010335	DB00201
DB00601	D054908	DB08903
DB08881	D009380	DB00105
DB00688	D008659	DB00635
DB01030	D017599	DB06589
DB00987	D015470	DB00242
DB01229	D001941	DB00441
DB12332	D012509	DB09035
DB00987	D007951	DB01254
DB00515	D002277	DB01234
DB16222	D016403	DB00541
DB00313	D014570	DB01202
DB00531	D012002	DB00544
DB14811	D007674	DB01234
DB00404	D019966	DB09061
DB09035	D009370	DB08935
DB00650	D009369	DB00947
DB00650	D027601	DB01101
DB15232	D014565	DB01590
DB01234	D004700	DB13017
DB01254	D004067	DB00544
DB01033	D008206	DB08886
DB06699	D005834	DB06186
DB15286	D012002	DB00515
DB00635	D008232	DB08935
DB00087	D054198	DB00864
DB00853	D009370	DB09074
DB00480	D008545	DB00531
DB01248	D009371	DB00526
DB00008	D004066	DB00709
DB00773	D009901	DB00997
DB00927	D003333	DB06151
DB00515	D008545	DB00531
DB00531	D000743	DB00877
DB01221	D009461	DB00297
DB01101	D004066	DB09035
DB00541	D009370	DB01030
DB00947	D001941	DB00331
DB01611	D007239	DB01601
DB09330	D002283	DB00317
DB15471	D004066	DB00650
DB00515	D007410	DB00997
DB00997	D006689	DB00860
DB08875	D018204	DB00531
DB00531	D000741	DB01073
DB00945	D003327	DB08816
DB01269	D009369	DB00531
DB00544	D007154	DB00762
DB13867	D006969	DB01001
DB00481	D000230	DB01128
DB01269	D058922	DB00531
DB00987	D007154	DB00352
DB00563	D054198	DB05889
DB00531	D014591	DB01073
DB12015	D005770	DB01229
DB08889	D007154	DB00515
DB00544	D004066	DB12317
DB01234	D007154	DB00531
DB08935	D007154	DB14867
DB01234	D010038	DB01248
DB00958	D009385	DB06366
DB14041	D020773	DB14042
DB12154	D009369	DB08912
DB04572	D054198	DB01042
DB00544	D009380	DB00515
DB11767	D014777	DB00060
DB06317	D006402	DB11754
DB00650	D007414	DB00112
DB00544	D005770	DB00947
DB00773	D008223	DB00262
DB00531	D015451	DB00099
DB00544	D015179	DB15286
DB00563	D006453	DB00454
DB00741	D009369	DB08886
DB00531	D018278	DB01101
DB11596	D004066	DB09078
DB11918	D002277	DB11595
DB00987	D001855	DB06603
DB00741	D009369	DB00997
DB04572	D008223	DB00864
DB14568	D009382	DB09074
DB01229	D009371	DB00515
DB06788	D009371	DB00014
DB08877	D001855	DB04868
DB01042	D016411	DB00262
DB00098	D020274	DB00531
DB00864	D010335	DB00531
DB09570	D006402	DB06317
DB00958	D016393	DB11581
DB00773	D007154	DB00361
DB11945	D018281	DB04145
DB08937	D005767	DB00642
DB00531	D016403	DB00316
DB09073	D008206	DB00398
DB09053	D009370	DB08889
DB00190	D001927	DB06262
DB00958	D002283	DB09035
DB00531	D001791	DB01008
DB11767	D012327	DB00060
DB09037	D014594	DB00002
DB00020	D011471	DB00499
DB01073	D009369	DB00091
DB00480	D015451	DB01041
DB00515	D018307	DB09539
DB00762	D009370	DB09073
DB00019	D001941	DB00072
DB00619	D006402	DB06616
DB00041	D009362	DB09037
DB06273	D009369	DB11595
DB00997	D018204	DB09035
DB00818	D003866	DB00813
DB00472	D001523	DB00514
DB07232	D001943	DB00531
DB09299	D016472	DB01264
DB01008	D006402	DB00563
DB00480	D054219	DB00515
DB00571	D009369	DB00019
DB00531	D004066	DB00002
DB00059	D004700	DB09150
DB01280	D007160	DB00773
DB00515	D005767	DB06366
DB01101	D000306	DB07232
DB08910	D008232	DB00541
DB01590	D002493	DB06603
DB00958	D018242	DB01030
DB00531	D007945	DB06809
DB16186	D005833	DB11793
DB09073	D007680	DB06626
DB00531	D002051	DB00541
DB04951	D010335	DB09079
DB01042	D008232	DB00864
DB00877	D005354	DB11689
DB09110	D012595	DB00098
DB01229	D002294	DB01248
DB00959	D005767	DB09312
DB11853	D000230	DB12941
DB06788	D000230	DB06825
DB00526	D009369	DB01248
DB00482	C562839	DB00531
DB06366	D009369	DB01006
DB12026	D004066	DB00811
DB00531	D004820	DB01073
DB00441	D008223	DB00526
DB12152	D011087	DB08877
DB00997	D018302	DB00515
DB00987	D009369	DB01075
DB00635	D004266	DB00773
DB09331	D004067	DB09035
DB09570	D020141	DB11942
DB08871	D009375	DB11595
DB13200	D018242	DB01030
DB11596	D009371	DB00650
DB14769	D017599	DB00853
DB09037	D000230	DB09053
