Classifier	p
GB	0.583655035078886
GB	0.3922077560844581
GB	0.052443284697833506
GB	0.8906421237068792
GB	0.7389252607308675
GB	0.13503242317221004
GB	0.11116631404419333
GB	0.055218160193347056
GB	0.6564893484430457
GB	0.06110329390095449
GB	0.2936979951264613
GB	0.08136403847989028
GB	0.056465765676703125
GB	0.11610196669904636
GB	0.055408544560960685
GB	0.14922942802462522
GB	0.3079662813176854
GB	0.05582726287084519
GB	0.4267682695183634
GB	0.6345306611010214
GB	0.5742591526735153
GB	0.05750535577223377
GB	0.14929093978238306
GB	0.053692280258996056
GB	0.11990500581654806
GB	0.05427359330820051
GB	0.13171461372248056
GB	0.11780710538198444
GB	0.6374996414102759
GB	0.052666105979639166
GB	0.05205510789862997
GB	0.7914398031079172
GB	0.1629959907596454
GB	0.4426847679368504
GB	0.8608807539042544
GB	0.09868519216901128
GB	0.054760415456433
GB	0.14191998167876013
GB	0.14752504963888097
GB	0.05509812444142409
GB	0.1030763468252245
GB	0.272562127885746
GB	0.7723267139179623
GB	0.05352845006815425
GB	0.7833715150548592
GB	0.561474792796783
GB	0.06168499948251289
GB	0.14936790415840726
GB	0.06868226446256992
GB	0.11368455924024756
GB	0.05452517885862449
GB	0.740061916576596
GB	0.45348585069316183
GB	0.9238018201226073
GB	0.05261586261998554
GB	0.056465765676703125
GB	0.05354867852915894
GB	0.6859653677548835
GB	0.21118074205824758
GB	0.8451573407408737
GB	0.10127195995849653
GB	0.05450394383070142
GB	0.0556053291462097
GB	0.39726866326953225
GB	0.05551302835453262
GB	0.08301924148839139
GB	0.13815762767733247
GB	0.19792290017857875
GB	0.08819386988117815
GB	0.05551302835453262
GB	0.05928240269097819
GB	0.4487789063382122
GB	0.05431523034101
GB	0.9642586869837229
GB	0.06472381012495608
GB	0.14368694320523676
GB	0.05235600139484204
GB	0.051675004624294994
GB	0.31922078575199636
GB	0.12181122083116568
GB	0.056961134203695175
GB	0.18041491944215873
GB	0.07266710421997717
GB	0.15584142125900774
GB	0.11257035125070602
GB	0.2278819325505234
GB	0.050191689607612014
GB	0.1655442351819239
GB	0.22760703518339467
GB	0.0558885833939073
GB	0.0998355270617906
GB	0.15299192807553047
GB	0.32276833963225743
GB	0.7597541851621444
GB	0.10743106646219419
GB	0.24270242729853753
GB	0.0644747048189952
GB	0.12520120680844019
GB	0.07219582818463616
GB	0.6822814544719364
GB	0.14728771376171068
GB	0.7271797985240526
GB	0.20098857081901914
GB	0.8786423919231765
GB	0.09264211905386283
GB	0.06485667288940318
GB	0.12578007779855044
GB	0.0654646274470089
GB	0.1306308053442755
GB	0.08441788674140333
GB	0.21240255683366932
GB	0.056465765676703125
GB	0.28184542663537887
GB	0.9077821383399556
GB	0.05627662844131623
GB	0.17814391003500257
GB	0.112022799971722
GB	0.1266260371173321
GB	0.053556191626003426
GB	0.07301114176483882
GB	0.04982757171045261
GB	0.10241854945217974
GB	0.09137534485982762
GB	0.06978161235876168
GB	0.05617831164331864
GB	0.33877497143993546
GB	0.5948306340855675
GB	0.8990910687423765
GB	0.2506799281194591
GB	0.6011721528175273
GB	0.8928038532969818
GB	0.053225848081001226
GB	0.056465765676703125
GB	0.05367676552961679
GB	0.7855148349643942
GB	0.055483897355575656
GB	0.27832628502103407
GB	0.5746651644216354
GB	0.9123533792642669
GB	0.05463519369282835
GB	0.05509812444142409
GB	0.08975196260064103
GB	0.5116834042693178
GB	0.058786256092670935
GB	0.05615156167870131
GB	0.7704504545767954
GB	0.053580171010084894
GB	0.055188021285064864
GB	0.072203253971097
GB	0.05302155993569997
GB	0.06368215218390873
GB	0.10914803083164484
GB	0.2811015867737858
GB	0.5991700576028512
GB	0.6947675089111742
GB	0.12306744660064703
GB	0.04808186639762579
GB	0.9046962967110456
GB	0.05449432501127733
GB	0.07751868829374767
GB	0.26154572841063367
GB	0.049197016511939855
GB	0.05223451456362711
GB	0.05534272194753891
GB	0.12837499085452958
GB	0.05598792117043928
GB	0.8494865599736908
GB	0.18487777232777602
GB	0.12092585878905454
GB	0.12386899209781406
GB	0.05691387562465208
GB	0.19562775835840052
GB	0.08014105249417772
GB	0.16838409093608356
GB	0.8717090170206294
GB	0.14849657954351222
GB	0.9599801364366537
GB	0.08379170074291953
GB	0.05339299405722785
GB	0.06223286385507493
GB	0.1893008522251009
GB	0.47435415227412525
GB	0.37413773088900787
GB	0.05919355698622565
GB	0.061617570744092263
GB	0.056465765676703125
GB	0.21296705960100973
GB	0.3775992172322421
GB	0.049041277930233024
GB	0.07285540222563966
GB	0.057455323558061086
GB	0.05582726287084519
GB	0.06440397749794949
GB	0.09176178043074654
GB	0.6267800071605101
GB	0.2046854429896521
GB	0.2759064080125476
GB	0.08581682264085147
GB	0.5779675030386797
GB	0.8112388023858832
GB	0.5210500298366115
GB	0.05582726287084519
GB	0.0655252444813114
GB	0.17178684123004564
GB	0.05264240105327314
GB	0.7884915350065806
GB	0.09389204729140688
GB	0.10517409724080967
GB	0.3785302064743554
GB	0.09903349738224097
GB	0.07504921065641343
GB	0.7975368505426867
GB	0.10184653983484959
GB	0.055589251798751876
GB	0.10733893992310803
GB	0.11487994440302941
GB	0.16965781353445336
GB	0.5847246477590108
GB	0.053735218381445585
GB	0.45788500069274674
GB	0.10471626842982883
GB	0.6986594279211537
GB	0.06987667157902797
GB	0.8096252840563718
GB	0.056153300376812716
GB	0.05345499979004235
GB	0.5206435126987733
GB	0.1281737426478821
GB	0.04865635685767703
GB	0.6684348389503822
GB	0.052027042826150366
GB	0.7980828776245691
GB	0.07412873333179995
GB	0.15771743267437818
GB	0.085431610908292
GB	0.21039920276591445
GB	0.15869267374062485
GB	0.054400620084123094
GB	0.056465765676703125
GB	0.09687694045144005
GB	0.560347020415859
GB	0.5328530959666945
GB	0.806468062883203
GB	0.5000789535895492
GB	0.07013798593946477
GB	0.05389824010435937
GB	0.05384589564427711
GB	0.10407421457866273
GB	0.05483023248960693
GB	0.19982127230973742
GB	0.06669281900512915
GB	0.11292526373982002
GB	0.07190520321125299
GB	0.05383856112629206
GB	0.05422881692602157
GB	0.1758421266161828
GB	0.05853385179053387
GB	0.07380564490357291
GB	0.8356414017199693
GB	0.39195252289368565
GB	0.7351224776576
GB	0.0776203025204581
GB	0.5654134812943912
GB	0.070584798248101
GB	0.05529492608397711
GB	0.20162883520529254
GB	0.05287943795588376
GB	0.7019655094823383
GB	0.056465765676703125
GB	0.8431170648357263
GB	0.22745811834089247
GB	0.17815204095408588
GB	0.06765961848097396
GB	0.15077188406765207
GB	0.0556773221044205
GB	0.05541079939659555
GB	0.07901893962920695
GB	0.04827106310317494
GB	0.2378843936263402
GB	0.09555939036048886
GB	0.07677971120658994
GB	0.30220571070644775
GB	0.05509812444142409
GB	0.4941189396231892
GB	0.1495277989136536
GB	0.5013642164291829
GB	0.6877993404217099
GB	0.055704659513740075
GB	0.05410616128497694
GB	0.05285022286005545
GB	0.3583740104045477
GB	0.1570692252550994
GB	0.0983129683590999
GB	0.055541963582009204
GB	0.2400380540429861
GB	0.11439927540558818
GB	0.5238548737884277
GB	0.1473993539220528
GB	0.6893091130413912
GB	0.5326195425706596
GB	0.05068606621200595
GB	0.5281623580916712
GB	0.3710885264192781
GB	0.25532153538345626
GB	0.05423729061830149
GB	0.7808743505739597
GB	0.0857757517005854
GB	0.05306359087103699
GB	0.13601818868332607
GB	0.17441436245928324
GB	0.10158329012911821
GB	0.40730673721446226
GB	0.16579047963422167
GB	0.6411691361390115
GB	0.32685022348086773
GB	0.18923287148334955
GB	0.6121979686757413
GB	0.4147064192861374
GB	0.053422047502952076
GB	0.9281886881752448
GB	0.5767325867989097
GB	0.3861577360852576
GB	0.15846917655333753
GB	0.3025191189722953
GB	0.29266070804125444
GB	0.4024159549887186
GB	0.05261794953455868
GB	0.05151347838544779
GB	0.21789863644032545
GB	0.07979558298329234
GB	0.12442795677591162
GB	0.2412841510708048
GB	0.7190543539649722
GB	0.1015732067067328
GB	0.056764671531694795
GB	0.0737142194917814
GB	0.16896918553273008
GB	0.11097042408034423
GB	0.07398409411046247
GB	0.6625410826600618
GB	0.18723420780821598
GB	0.5507706137601711
GB	0.056967401948449604
GB	0.2231347132523775
GB	0.8920077171155925
GB	0.47641810224574466
GB	0.05618288562327245
GB	0.09305204515334248
GB	0.07649846921657959
GB	0.332362926444152
GB	0.22647000807395298
GB	0.7405249304972329
GB	0.3886560353114059
GB	0.056228723622020374
GB	0.26156037311933156
GB	0.056465765676703125
GB	0.6623625258809067
GB	0.06252896811745311
GB	0.13846407343574085
GB	0.25503318763987926
GB	0.18655246351010193
GB	0.05534272194753891
GB	0.09549962838917063
GB	0.056153300376812716
GB	0.23907825847610123
GB	0.05273747897938733
GB	0.13831154098676648
GB	0.05557013826150298
GB	0.05485539511047499
GB	0.69061653106752
GB	0.4966982350348339
GB	0.7583614609226353
GB	0.5483695604599569
GB	0.14006346956374077
GB	0.3726155783021293
GB	0.09709270736937853
GB	0.16381915638611877
GB	0.056465765676703125
GB	0.15338254542929314
GB	0.4670549587722386
GB	0.12276538219116383
GB	0.6762489850524149
GB	0.6272425330951339
GB	0.07500854929461916
GB	0.06344541376524547
GB	0.13718954165243083
GB	0.05534272194753891
GB	0.19280272879921248
GB	0.5597173000883231
GB	0.34185270231772324
GB	0.35906417390647954
GB	0.156666412291698
GB	0.1099086477656884
GB	0.45315351303637047
GB	0.2524910080583815
GB	0.729579761581056
GB	0.22336021438094666
GB	0.24610300789140713
GB	0.5241198184333096
GB	0.570450642173794
GB	0.11285080958444793
GB	0.05896986852399198
GB	0.04952870349760382
GB	0.08929638453882835
GB	0.7952189166811404
GB	0.2146388859818201
GB	0.3872816685334711
GB	0.13258434814929584
GB	0.05987682932607601
GB	0.11213957363686812
GB	0.06941783561746324
GB	0.23132753144185803
GB	0.35327605137375523
GB	0.3846895034141857
GB	0.3983106606440837
GB	0.18447708197341442
GB	0.13650400627941145
GB	0.05189331563729364
GB	0.054703190318568524
GB	0.1772669450433516
GB	0.8230540195186009
GB	0.05204183981144147
GB	0.13554855416066927
GB	0.22390949793058076
GB	0.3475175225911246
GB	0.09107978777467107
GB	0.10162901615392746
GB	0.09316567914910259
GB	0.12779679063592242
GB	0.05427359330820051
GB	0.8473890550353078
GB	0.13584474478815955
GB	0.05143606795681209
GB	0.060534413663933466
GB	0.1171535461223543
GB	0.05770828780321315
GB	0.09312230344907087
GB	0.45927663333034413
GB	0.09787967464096105
GB	0.5269361690611969
GB	0.3445525968384891
GB	0.2125344584184745
GB	0.052891561358884745
GB	0.2100529395078494
GB	0.6911287661484953
GB	0.6944318984695582
GB	0.0745331638437104
GB	0.13265010460815627
GB	0.2036263405748179
GB	0.06957578090632256
GB	0.7318619185692241
GB	0.1796011338486202
GB	0.18591077598326924
GB	0.16816782574978653
GB	0.13448315544360676
GB	0.6904491644934783
GB	0.19884231536015173
GB	0.31740943760975837
GB	0.05308639356287074
GB	0.47669566973568367
GB	0.2775137163772227
GB	0.05887290689324147
GB	0.056465765676703125
GB	0.6624641355776102
GB	0.05507753100416384
GB	0.5481432669194616
GB	0.12856397419573723
GB	0.31162749845883214
GB	0.2916165793259396
GB	0.7731601816101543
GB	0.051741912014196735
GB	0.5373821678420371
GB	0.05265799751242679
GB	0.05193490284399289
GB	0.06302005871861584
GB	0.1436544885133956
GB	0.08589103121307301
GB	0.5113800651882948
GB	0.09839358095268062
GB	0.6791951179857371
GB	0.2354062225729394
GB	0.32864020427789165
GB	0.18343681588646038
GB	0.09568527184318379
GB	0.10721809763015203
GB	0.22398825353761265
GB	0.13997548504396923
GB	0.14513976099374198
GB	0.8828635089020023
GB	0.05590977188519873
GB	0.10019827924510154
GB	0.05241323280732095
GB	0.9236765030463245
GB	0.09074692664552075
GB	0.12161864904221618
GB	0.09913240012279077
GB	0.05582726287084519
GB	0.23367024410585405
GB	0.056465765676703125
GB	0.46502367309667186
GB	0.6620290963766534
GB	0.3122357599615627
GB	0.5301975169046633
GB	0.9451566658232053
GB	0.5563204338575242
GB	0.09332045480169883
GB	0.18877995691468966
GB	0.08262988790166613
GB	0.07848593341065388
GB	0.07312636023573926
GB	0.12502306818159512
GB	0.04972617774427518
GB	0.05214854489411151
GB	0.12559709935518207
GB	0.057999635446495015
GB	0.08015524333455454
GB	0.060374993198188495
GB	0.25352701984185877
GB	0.1785682748362276
GB	0.5622255403021279
GB	0.6877022992504277
GB	0.17522905837974379
GB	0.45786862218973845
GB	0.2684042165179211
GB	0.0818508576407309
GB	0.6483625254393358
GB	0.17169297232042904
GB	0.085313503195018
GB	0.055460525619555646
GB	0.3213767792920356
GB	0.3480547632809003
GB	0.23252082768672366
GB	0.6412473215245927
GB	0.08409922119378638
GB	0.3213756797312899
GB	0.1370249849192889
GB	0.24131793589330539
GB	0.2553825599127819
GB	0.7411919563702768
GB	0.04737330268960162
GB	0.16174968557050406
GB	0.12661205408674842
GB	0.8792879726588035
GB	0.5921438907112868
GB	0.04952231699346115
GB	0.12132509673679491
GB	0.16811300290489578
GB	0.05390293658192749
GB	0.056465765676703125
GB	0.0986219139122641
GB	0.10820878872714342
GB	0.05711607692741209
GB	0.0552560946445847
GB	0.05091000778794854
GB	0.45861231387871765
GB	0.052027042826150366
GB	0.0854831008503556
GB	0.8665146609897597
GB	0.20846464863938222
GB	0.0562956780912823
GB	0.668325702681993
GB	0.055535861567350735
GB	0.05427655557706381
GB	0.12229422331113084
GB	0.25407426689239776
GB	0.056465765676703125
GB	0.08556019654433
GB	0.23145196278033878
GB	0.5162810622559951
GB	0.10903853727820456
GB	0.15372368010958162
GB	0.14930789508947173
GB	0.051881869714482685
GB	0.05672617080214264
GB	0.05270354595663648
GB	0.48696788593105395
GB	0.05438047348265014
GB	0.09596452110095065
GB	0.3021790560908274
GB	0.09116385256239683
GB	0.43530074655538986
GB	0.09283806719287425
GB	0.055622351589127816
GB	0.05201930951405447
GB	0.05635210480018666
GB	0.056465765676703125
GB	0.122848111912302
GB	0.056465765676703125
GB	0.11885851053913202
GB	0.18426529225149937
GB	0.06306788247780173
GB	0.0841282128388636
GB	0.08425354788817756
GB	0.4511398831285142
GB	0.05272742760786305
GB	0.7121413285333961
GB	0.05618764608147827
GB	0.5046654979747315
GB	0.07380321034255635
GB	0.5305211143168223
GB	0.09362476728409948
GB	0.906035224304875
GB	0.6225162485330303
GB	0.2031472777498337
GB	0.053247494488342616
GB	0.10669844721997747
GB	0.055704659513740075
GB	0.17548052073224318
GB	0.10244569884508423
GB	0.052891561358884745
GB	0.056761371257728226
GB	0.06452201532494445
GB	0.1305947533667845
GB	0.09057641601569531
GB	0.49282299778800065
GB	0.08415026136654363
GB	0.2656594949593272
GB	0.22129868745965575
GB	0.052612020633334644
GB	0.05482678176966877
GB	0.152010910451758
GB	0.07060685505171604
GB	0.42802581172501053
GB	0.07503032470006028
GB	0.0731381586756969
GB	0.27010915548637204
GB	0.055026023070185864
GB	0.23893613442738187
GB	0.42684881734918073
GB	0.9172525597938189
GB	0.34189542184069
GB	0.601283238320099
GB	0.09179604546671995
GB	0.056465765676703125
GB	0.10492030843107994
GB	0.23121548332139058
GB	0.16041792776821448
GB	0.056153300376812716
GB	0.37775475694737143
GB	0.2977278418089297
GB	0.7838101891917675
GB	0.43704203471016667
GB	0.2713015786804901
GB	0.063122677955368
GB	0.05174478497312598
GB	0.22742974041950137
GB	0.21338883523993218
GB	0.055358683260715066
GB	0.7707706320946707
GB	0.4143334399424
GB	0.05312946421640521
GB	0.05329452438283715
GB	0.056465765676703125
GB	0.633879133583106
GB	0.08476091610697464
GB	0.4514895559181637
GB	0.175718706531961
GB	0.15888041839868988
GB	0.07508723882870028
GB	0.13710461752248734
GB	0.09690171958285967
GB	0.4964607762209682
GB	0.05338490015998334
GB	0.12002788518518082
GB	0.05463519369282835
GB	0.1078007406054546
GB	0.12225834747111117
GB	0.6217394598129332
GB	0.08974105855078
GB	0.20604946815544758
GB	0.1594044797045062
GB	0.6393446016645155
GB	0.19683251281389566
GB	0.056465765676703125
GB	0.458181355837187
GB	0.05484986104856117
GB	0.06978447944534656
GB	0.3712463138089364
GB	0.05647379821520235
GB	0.15490627817866898
GB	0.05633784813729571
GB	0.056465765676703125
GB	0.06663749816830221
GB	0.07892149699037913
GB	0.09931817482061549
GB	0.40840466141515064
GB	0.055689771536078334
GB	0.07960149065724828
GB	0.30642619431064705
GB	0.1450193852211433
GB	0.1041686439284443
GB	0.1306477613431113
GB	0.6816447219602895
GB	0.06828894527510271
GB	0.05551302835453262
GB	0.056153300376812716
GB	0.17215675779404008
GB	0.33243907757604496
GB	0.1489009242667531
GB	0.056465765676703125
GB	0.1416260943169761
GB	0.88691176996738
GB	0.22730632929496625
GB	0.8674397674399675
GB	0.6786701363434112
GB	0.09600724477906332
GB	0.06514566609244131
GB	0.3472644165703402
GB	0.3125767490274172
GB	0.11439130940924162
GB	0.06323517351264633
GB	0.1576969715657053
GB	0.05308639356287074
GB	0.23735813259463376
GB	0.9136837656185647
GB	0.3214920153884626
GB	0.15892511315848482
GB	0.2861621954784552
GB	0.05184150908163775
GB	0.09137534485982762
GB	0.09637371336559962
GB	0.3538074310811439
GB	0.055118004526395606
GB	0.05955853851902783
GB	0.8528704135432421
GB	0.05356106095825847
GB	0.14959331971691617
GB	0.05499496528062337
GB	0.2741035934552696
GB	0.0731182112015003
GB	0.34628891111382
GB	0.056465765676703125
GB	0.05509812444142409
GB	0.7532786298555819
GB	0.4384527185854415
GB	0.45062200247423706
GB	0.05427655557706381
GB	0.05570799535396102
GB	0.3730402019814019
GB	0.055704659513740075
GB	0.14324939446980373
GB	0.10514238452800793
GB	0.05551302835453262
GB	0.13704566546037447
GB	0.05321286366013122
GB	0.0732350394589317
GB	0.051516473920120875
GB	0.6626621522258122
GB	0.056329332244047604
GB	0.05511794471083617
GB	0.2318585861646856
GB	0.0538440525224673
GB	0.8888086768491044
GB	0.1308431310261681
GB	0.06565863081057106
GB	0.2226408366183521
GB	0.051806120459513785
GB	0.08348023349619707
GB	0.054065388090002005
GB	0.10735405692771342
GB	0.8569127625003092
GB	0.08198214233983672
